Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
CNED;BTS - Services - Diététique - Entièrement en distanciel;;3400;0;69;26;15;2;0;0;61;23;13;2;0;442;1581
CNED;BTS - Services - Communication - Entièrement en distanciel;;3200;0;50;21;14;4;0;0;56;24;16;4;0;355;1571
CNED;BTS - Services - Commerce International - Entièrement en distanciel;;2400;0;64;20;7;1;0;0;69;22;8;1;0;366;2017
CNED;BTS - Services - Tourisme - Entièrement en distanciel;;2400;0;27;9;7;1;0;0;61;20;16;2;0;121;748
CNED;BTS - Services - Management Commercial Opérationnel - Entièrement en distanciel;;2400;0;56;16;7;0;0;0;70;20;9;0;0;210;1520
CNED;BTS - Services - Economie sociale familiale - Entièrement en distanciel;;2000;0;32;11;4;0;0;0;68;23;9;0;0;142;807
CNED;BTS - Services - Négociation et digitalisation de la Relation Client - Entièrement en distanciel;;2000;0;52;11;4;1;0;0;76;16;6;1;0;156;1154
CNED;BTS - Services - Service et prestation des secteurs sanitaire et social - Entièrement en distanciel;;1600;0;18;8;3;0;0;0;62;28;10;0;0;124;721
Université Toulouse 1 Capitole;Licence - Portail Droit - parcours Droit;parcours Droit;1530;0;390;484;295;88;2;0;31;38;23;7;0;1526;8812
CNED;BTS - Services - Services informatiques aux organisations - Entièrement en distanciel;;1500;0;42;19;12;1;0;0;57;26;16;1;0;231;883
Université Paris 1 Panthéon Sorbonne;Licence - Droit - Parcours Droit - IED (ex-CAVEJ) - Entièrement en distanciel;Droit - IED (ex-CAVEJ);1500;1;271;132;41;5;3;0;60;29;9;1;1;1474;4065
CNED;BTS - Services - Comptabilité et gestion - Entièrement en distanciel;;1500;0;12;14;4;3;0;0;35;41;12;9;0;131;566
Université de Bordeaux - Bordeaux Métropole;Licence - Portail Droit;Université de Bordeaux - Bordeaux Métropole;1390;0;340;425;296;68;3;0;30;38;26;6;0;1374;9030
Aix Marseille Université - Site d'Aix-en-Provence (3 Schuman);Licence - Portail Droit;;1278;0;168;370;427;145;6;0;15;33;38;13;1;1270;8084
Université Jean Moulin Lyon 3;Licence - Portail Droit.;Droit.;1270;0;268;461;250;83;3;0;25;43;23;8;0;1254;9555
CNED;BTS - Services - Support à l'action managériale - Entièrement en distanciel;;1200;0;12;3;1;0;0;0;75;19;6;0;0;55;524
CNED;BTS - Services - Gestion de la PME - Entièrement en distanciel;;1200;0;22;9;6;3;0;0;55;22;15;8;0;136;578
CNED;BTS - Production - Systèmes numériques - Option informatique et réseaux - Entièrement en distanciel;;1200;0;31;20;4;0;0;0;56;36;7;0;0;434;1735
Sorbonne Université - Médecine;Licence - Parcours d'Accès Spécifique Santé (PASS);"Sciences: ""Biologie, Chimie, Physique""";1200;0;7;141;303;270;45;0;1;18;40;35;6;1190;13680
Université de Montpellier;Licence - Portail Droit - Droit (Faculté de Droit et Science Politique);Droit (Faculté de Droit et Science Politique);1120;0;220;314;274;65;1;0;25;36;31;7;0;1096;8664
Université de Lille;Licence - Portail Psychologie;;1085;0;174;231;200;70;4;0;26;34;29;10;1;1074;9514
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);Licence - Sciences pour la santé -  Accès Santé;;1050;0;266;440;272;60;6;0;25;42;26;6;1;1048;5195
Aix Marseille Université - Site d'Aix-en-Provence;Licence - Portail Psychologie;;1032;0;297;281;145;37;1;0;39;37;19;5;0;1012;9359
Université Toulouse 2 Jean Jaurès;Licence - Psychologie;;1000;0;162;248;142;39;2;0;27;42;24;7;0;994;11880
Université de Lorraine - Site de Nancy;Licence - Parcours d'Accès Spécifique Santé (PASS);Portail disciplinaire PASS;950;0;33;254;380;222;39;0;4;27;41;24;4;935;4468
Université Paris 2 Panthéon - Assas;Licence - Droit;;950;0;27;249;480;181;7;0;3;26;51;19;1;945;13701
Aix-Marseille Université - Site de Marseille Espace Canebière;Licence - Portail Droit;;922;0;240;163;62;13;0;0;50;34;13;3;0;753;4565
Université de Rennes 1;Licence - Portail Portail Droit Science politique - Rennes;Portail Droit Science politique - Rennes;920;0;105;300;304;106;1;0;13;37;37;13;0;914;5839
Université de Lille;Licence - Portail Droit;;910;0;207;238;177;85;11;0;29;33;25;12;2;898;6008
CNED;BTS - Services - Assurance - Entièrement en distanciel;;900;0;9;2;0;0;0;0;82;18;0;0;0;94;502
Université Grenoble Alpes;Licence - Parcours d'Accès Spécifique Santé (PASS);Sciences;850;0;128;182;162;86;16;0;22;32;28;15;3;728;5458
Université Angers;Licence - Parcours d'Accès Spécifique Santé (PASS);Pluridisciplinaire;850;0;113;262;224;135;18;0;15;35;30;18;2;839;3463
CNED;BTS - Services - Collaborateur juriste notarial - Entièrement en distanciel;;800;0;13;3;6;0;0;0;59;14;27;0;0;130;469
CNED;BTS - Services - Management en hôtellerie restauration - Entièrement en distanciel;;800;0;0;0;1;0;0;0;0;0;100;0;0;8;39
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);Licence - Droit;;800;0;209;282;106;15;0;0;34;46;17;2;0;792;5341
CNED;BTS - Production - Systèmes numériques - Option électronique et communication - Entièrement en distanciel;;800;0;6;1;0;0;0;0;86;14;0;0;0;35;309
Université de Strasbourg;Licence - Droit;;780;0;107;233;217;76;7;0;17;36;34;12;1;777;5411
Université Paris Nanterre;Licence - Droit;;778;0;65;304;259;32;0;0;10;46;39;5;0;770;9566
Université de La Réunion - Saint Denis;Licence - Portail Administration économique et sociale;: Université de La Réunion - Saint Denis;750;0;179;56;16;2;0;0;70;22;6;1;0;438;2019
Université Paris 1 Panthéon Sorbonne;Licence - Economie;;750;0;139;219;242;68;1;0;21;33;36;10;0;732;9103
Université Paris 1 Panthéon Sorbonne;Licence - Droit;;745;0;7;60;284;263;17;0;1;9;45;42;3;743;13423
Université Toulouse 1 Capitole;Licence - Portail Administration économique et sociale - parcours général;parcours général;740;0;244;161;56;8;0;0;52;34;12;2;0;731;4352
Université Claude Bernard Lyon 1;Licence - Parcours d'Accès Spécifique Santé (PASS);Sciences du Vivant et Environnement  proposée par l'Université Claude Bernard Lyon 1 (site de Lyon);730;0;74;238;257;91;14;0;11;35;38;14;2;733;7581
Université Paris 1 Panthéon Sorbonne;Licence - Gestion;;725;0;96;221;209;48;0;0;17;38;36;8;0;705;7791
Université Côte d'Azur;Licence - Portail Droit;;720;0;206;214;139;40;2;0;34;35;23;7;0;712;5208
Université de Bordeaux - Bordeaux Métropole;Licence - Portail Economie et gestion - Economie gestion;Economie gestion;705;0;174;118;57;4;0;0;49;33;16;1;0;586;4922
Université de Rouen Normandie - Campus Pasteur Rouen;Licence - Droit - Parcours Majeure Droit (Rouen);Majeure Droit (Rouen);700;0;221;202;127;34;2;0;38;34;22;6;0;698;3153
